protein_id
AAN10236.1
AAN10237.1
AAN10239.1
AAN10241.1
AAN10242.1
AAN10243.1
AAN10244.1
AAN10246.1
AAN10247.1
AAN10248.1
AAN10249.1
PRJNA935111:PU648_09290
PRJNA935111:PU648_09235
PRJNA935111:PU648_09240
PRJNA935111:PU648_09245
PRJNA935111:PU648_09255
PRJNA935111:PU648_09260
PRJNA935111:PU648_09270
PRJNA935111:PU648_09275
PRJNA935111:PU648_09280
PRJNA935111:PU648_09285
PRJNA935111:PU648_09325
PRJNA935111:PU648_09360
